,GeneNames,log2FC,p-value
314,LOC_Os01g62080.2,1.514573173,1.43e-05
315,LOC_Os02g47220.2,-4.523561956,1.56e-05
316,LOC_Os02g13140.1,1.306661338,1.72e-05
317,LOC_Os02g07870.1,0.591194454,1.75e-05
318,LOC_Os03g52840.2,-0.930097987,1.83e-05
319,LOC_Os10g37730.1,3.247927513,1.96e-05
320,LOC_Os09g01960.1,3.247927513,1.96e-05
321,LOC_Os04g55930.1,3.247927513,1.96e-05
322,LOC_Os04g32020.3,0.648156327,2.1e-05
323,LOC_Os03g48080.1,1.263034406,2.28e-05
324,LOC_Os08g38460.1,1.906890596,2.32e-05
325,LOC_Os10g35720.1,1.478047297,2.35e-05
326,LOC_Os07g41710.2,-2.232660757,2.35e-05
327,LOC_Os01g13760.1,-1.196800707,2.41e-05
328,LOC_Os03g63040.1,2.0,2.48e-05
329,LOC_Os02g08490.1,2.0,2.48e-05
330,LOC_Os02g13840.1,0.572578776,2.53e-05
331,LOC_Os07g31340.1,0.785261151,2.53e-05
332,LOC_Os08g34720.1,0.811927652,2.65e-05
333,LOC_Os02g41590.1,0.731511164,2.8e-05
334,LOC_Os03g53270.1,1.222392421,3.02e-05
335,LOC_Os03g17070.1,-1.419903254,3.06e-05
336,LOC_Os04g37690.1,-2.027480736,3.09e-05
337,LOC_Os02g30900.1,2.459431619,3.69e-05
338,LOC_Os08g36320.3,2.459431619,3.69e-05
339,LOC_Os03g16000.1,2.459431619,3.69e-05
340,LOC_Os02g53400.1,-3.222392421,3.71e-05
341,LOC_Os07g12340.1,3.169925001,3.9e-05
342,LOC_Os05g43240.2,3.169925001,3.9e-05
343,LOC_Os03g27019.6,3.169925001,3.9e-05
344,LOC_Os05g08810.1,2.263034406,3.92e-05
345,LOC_Os01g11054.1,0.394531844,3.94e-05
346,LOC_Os06g45840.1,1.857980995,4.04e-05
347,LOC_Os02g49570.1,-1.94753258,4.31e-05
348,LOC_Os08g29150.1,1.94753258,4.41e-05
349,LOC_Os04g51300.1,-3.64385619,4.57e-05
350,LOC_Os01g16430.1,1.584962501,5.48e-05
351,LOC_Os02g33500.1,1.584962501,5.48e-05
352,LOC_Os05g04360.1,2.736965594,5.77e-05
353,LOC_Os11g38260.1,2.736965594,5.77e-05
354,LOC_Os07g44740.1,2.736965594,5.77e-05
